平台,型号,销量,销售额
万隆家用电器店,MAC35V1THR(鸿白),14,24731
万隆家用电器店,MAC35V1Y3HR,6,9967
万隆家用电器店,MAC35V1THR(鸿黑),5,8881
万隆家用电器店,MAC35V1THR(pro),4,7480
万隆家用电器店,MAC26V1THR(李小龙),4,6364
万隆家用电器店,MAC72V1KSR,3,10620
万隆家用电器店,MAC26V1Y3HR(3代),3,4504
万隆家用电器店,MAC51V1KSR,2,5364
万隆家用电器店,MAC26V1Y3HR,2,3060
天猫优品,5级定速,5933,8743566.9
天猫优品,MAC35V1THR(鸿白),67,109519.4
天猫优品,MAC35V1Y3HR,19,29939.25
天猫优品,MAC70V1THR,11,31504.55
天猫优品,MAC51V1KSR,5,15041.25
天猫优品,MAH35VTHR(pro),4,8786
天猫优品,MAC50V1THR,4,8782.2
天猫优品,MAC72V1N9SR,1,6015.55
天猫优品,MAC72V1NNSR,1,4487.55
天猫优品,MAC26V1THR(李小龙),1,1575.75
天猫优品,MAC72V1KSR,1,3772.25
淘工厂,MAC72V1KSR,4,18126
淘工厂,MAC51V1KSR,1,3218
